datainicial,datafinal,cd_anoexecucao,cd_exercicio,administracao,cd_orgao,sigla_orgao,ds_orgao,cd_unidade,ds_unidade,cd_funcao,ds_funcao,cd_subfuncao,ds_subfuncao,cd_programa,ds_programa,pa,papa,projetoatividade,ds_projeto_atividade,cd_despesa,ds_despesa,categoria_despesa,ds_categoria,grupo_despesa,ds_grupo,cd_modalidade,ds_modalidade,cd_elemento,cd_fonte,ds_fonte,sld_orcado_ano,vl_atualizado,vl_congelado,vl_descongelado,vl_congeladoliquido,vl_reservado,vl_cancelado,vl_reservadoliquido,vl_empenhado,vl_anulado,vl_empenhadoliquido,vl_liquidado,vl_pago
2015-01-01,2015-07-30,2015,2015,Administração Direta,11.0,SGM,Secretaria do Governo Municipal,10.0,Gabinete do Prefeito,4.0,Administração,122.0,Administração Geral,3024.0,Suporte Administrativo,Atividade,Atividade,2100.0,Administração da Unidade,33901400.0,Diárias - Civil,3.0,Despesas Correntes,3.0,OUTRAS DESPESAS CORRENTES,90.0,Aplicações Diretas,14.0,0.0,Tesouro Municipal,185000.0,185000.0,42660.67,0.0,42660.67,44249.33,2000.0,42249.33,49849.33,7600.0,42249.33,42249.33,42249.33
2015-01-01,2015-07-30,2015,2015,Administração Direta,11.0,SGM,Secretaria do Governo Municipal,10.0,Gabinete do Prefeito,4.0,Administração,122.0,Administração Geral,3024.0,Suporte Administrativo,Atividade,Atividade,2100.0,Administração da Unidade,33903000.0,Material de Consumo,3.0,Despesas Correntes,3.0,OUTRAS DESPESAS CORRENTES,90.0,Aplicações Diretas,30.0,0.0,Tesouro Municipal,11500.0,11500.0,2651.88,0.0,2651.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-07-30,2015,2015,Administração Direta,11.0,SGM,Secretaria do Governo Municipal,10.0,Gabinete do Prefeito,4.0,Administração,122.0,Administração Geral,3024.0,Suporte Administrativo,Atividade,Atividade,2100.0,Administração da Unidade,33903300.0,Passagens e Despesas com Locomoção,3.0,Despesas Correntes,3.0,OUTRAS DESPESAS CORRENTES,90.0,Aplicações Diretas,33.0,0.0,Tesouro Municipal,420000.0,420000.0,96851.24,0.0,96851.24,976660.85,741813.66,234847.19,264847.19,30000.0,234847.19,30489.71,11552.66
2015-01-01,2015-07-30,2015,2015,Administração Direta,11.0,SGM,Secretaria do Governo Municipal,10.0,Gabinete do Prefeito,4.0,Administração,122.0,Administração Geral,3024.0,Suporte Administrativo,Atividade,Atividade,2100.0,Administração da Unidade,33903600.0,Outros Serviços de Terceiros - Pessoa Física,3.0,Despesas Correntes,3.0,OUTRAS DESPESAS CORRENTES,90.0,Aplicações Diretas,36.0,0.0,Tesouro Municipal,20000.0,20000.0,4611.96,0.0,4611.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-07-30,2015,2015,Administração Direta,11.0,SGM,Secretaria do Governo Municipal,10.0,Gabinete do Prefeito,4.0,Administração,122.0,Administração Geral,3024.0,Suporte Administrativo,Atividade,Atividade,2100.0,Administração da Unidade,33903900.0,Outros Serviços de Terceiros -Pessoa Jurídica,3.0,Despesas Correntes,3.0,OUTRAS DESPESAS CORRENTES,90.0,Aplicações Diretas,39.0,0.0,Tesouro Municipal,213500.0,213500.0,49232.72,0.0,49232.72,17902.17,1.34,17900.83,17900.83,0.0,17900.83,17900.0,17600.0
2015-01-01,2015-07-30,2015,2015,Administração Direta,11.0,SGM,Secretaria do Governo Municipal,10.0,Gabinete do Prefeito,4.0,Administração,122.0,Administração Geral,3024.0,Suporte Administrativo,Atividade,Atividade,2100.0,Administração da Unidade,44905200.0,Equipamentos e Material Permanente,4.0,Despesas de Capital,4.0,INVESTIMENTOS,90.0,Aplicações Diretas,52.0,0.0,Tesouro Municipal,5000.0,5000.0,8847.01,3847.01,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-07-30,2015,2015,Administração Direta,11.0,SGM,Secretaria do Governo Municipal,10.0,Gabinete do Prefeito,8.0,Assistência Social,243.0,Assistência a Criança e ao Adolescente,3018.0,Promoção de uma cultura de cidadania e valorização da diversidade,Projeto,Projeto,1025.0,Projetos Especiais e Articulação da Primeira Infância,44903900.0,Outros Serviços de Terceiros - Pessoa Jurídica,4.0,Despesas de Capital,4.0,INVESTIMENTOS,90.0,Aplicações Diretas,39.0,0.0,Tesouro Municipal,200000.0,200000.0,200000.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-07-30,2015,2015,Administração Direta,11.0,SGM,Secretaria do Governo Municipal,10.0,Gabinete do Prefeito,23.0,Comércio e Serviços,695.0,Turismo,3015.0,Promoção da cidade como centro de eventos e destino turístico de referência,Projeto,Projeto,1020.0,Aumento de Capital da São Paulo Turismo S/A,45906500.0,Constituição ou Aumento de Capital de Empresas,4.0,Despesas de Capital,5.0,INVERSOES FINANCEIRAS,90.0,Aplicações Diretas,65.0,0.0,Tesouro Municipal,1000.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-07-30,2015,2015,Administração Direta,11.0,SGM,Secretaria do Governo Municipal,20.0,Gabinete do Secretário,4.0,Administração,122.0,Administração Geral,3024.0,Suporte Administrativo,Atividade,Atividade,2100.0,Administração da Unidade,33504100.0,Contribuições,3.0,Despesas Correntes,3.0,OUTRAS DESPESAS CORRENTES,50.0,Transferências a Instituições Privadas sem fins Lucrativos,41.0,0.0,Tesouro Municipal,101360.0,101360.0,23373.43,0.0,23373.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-07-30,2015,2015,Administração Direta,11.0,SGM,Secretaria do Governo Municipal,20.0,Gabinete do Secretário,4.0,Administração,122.0,Administração Geral,3024.0,Suporte Administrativo,Atividade,Atividade,2100.0,Administração da Unidade,33901400.0,Diárias - Civil,3.0,Despesas Correntes,3.0,OUTRAS DESPESAS CORRENTES,90.0,Aplicações Diretas,14.0,0.0,Tesouro Municipal,130000.0,130000.0,29977.77,0.0,29977.77,11686.52,1565.84,10120.68,10719.35,598.67,10120.68,10120.68,9153.51
